"STRESSOR_ID","STRESSOR_NAME","STRESSOR_USER_TERM","STRESSOR_PREFERRED_NAME","STRESSOR_DTXID","CAS_RN","STRESSOR_URL","OECD_STATUS","COMMENTS","STATUS"
"688","Tri-allate","Tri-allate","Tri-allate","DTXSID5024344","2303-17-5","https://aopwiki.org/stressors/688.json",,,
"689","Cycloate","Cycloate","Cycloate","DTXSID6032356","1134-23-2","https://aopwiki.org/stressors/689.json",,,
"690","Itraconazole","Itraconazole","Itraconazole","DTXSID3023180","84625-61-6","https://aopwiki.org/stressors/690.json",,,
"691","Candesartan cilexetil","Candesartan cilexetil","Candesartan cilexetil","DTXSID5020239","145040-37-5","https://aopwiki.org/stressors/691.json",,,
"692","Montelukast","Montelukast","Montelukast","DTXSID9023334","158966-92-8","https://aopwiki.org/stressors/692.json",,,
"693","Repaglinide","Repaglinide","Repaglinide","DTXSID3023552","135062-02-1","https://aopwiki.org/stressors/693.json",,,
"694","Liarozole","Liarozole","Liarozole","DTXSID9048277","115575-11-6","https://aopwiki.org/stressors/694.json",,,
"695","(R)-Talarozole","(R)-Talarozole","(R)-Talarozole","DTXSID50236074","870093-23-5","https://aopwiki.org/stressors/695.json",,,
"696","Stressor:282 Ketoconazole",,,,,"https://aopwiki.org/stressors/696.json",,,
"697","all-trans-Retinoic acid","all-trans-Retinoic acid","all-trans-Retinoic acid","DTXSID7021239","302-79-4","https://aopwiki.org/stressors/697.json",,,
"698","Diethylhexyl phthalate",,,,,"https://aopwiki.org/stressors/698.json",,,
"699","Influenza Virus",,,,,"https://aopwiki.org/stressors/699.json",,,
"700","Escitalopram","Escitalopram","Escitalopram","DTXSID8048440","128196-01-0","https://aopwiki.org/stressors/700.json",,,
"701","Astemizole","Astemizole","Astemizole","DTXSID9020110","68844-77-9","https://aopwiki.org/stressors/701.json",,,
"702","Probucol","Probucol","Probucol","DTXSID2045440","23288-49-5","https://aopwiki.org/stressors/702.json",,,
"703","Quinidine","Quinidine","Quinidine","DTXSID4023549","56-54-2","https://aopwiki.org/stressors/703.json",,,
"704","Disopyramide","Disopyramide","Disopyramide","DTXSID1045536","3737-09-5","https://aopwiki.org/stressors/704.json",,,
"705","Procainamide","Procainamide","Procainamide","DTXSID7023512","51-06-9","https://aopwiki.org/stressors/705.json",,,
"706","Terfenadine","Terfenadine","Terfenadine","DTXSID2023642","50679-08-8","https://aopwiki.org/stressors/706.json",,,
"707","Cisapride","Cisapride","Cisapride","DTXSID3022825","81098-60-4","https://aopwiki.org/stressors/707.json",,,
"708","Tetraarsenic trioxide","Tetraarsenic trioxide","Tetraarsenic trioxide","DTXSID80232428","83527-54-2","https://aopwiki.org/stressors/708.json",,,
"709","Pentamidine","Pentamidine","Pentamidine","DTXSID7023431","100-33-4","https://aopwiki.org/stressors/709.json",,,
"711","Silver","Silver","Silver","DTXSID4024305","7440-22-4","https://aopwiki.org/stressors/711.json",,,
"712","Gold nanoparticles",,,,,"https://aopwiki.org/stressors/712.json",,,
"714","Other heavy metal effects",,,,,"https://aopwiki.org/stressors/714.json",,,
"715","Other heavy metals",,,,,"https://aopwiki.org/stressors/715.json",,,
"716","Cisplatin","Cisplatin","Cisplatin","DTXSID4024983","15663-27-1","https://aopwiki.org/stressors/716.json",,,
"717","Nanoparticles and Micrometer Particles",,,,,"https://aopwiki.org/stressors/717.json",,,
"718","Platinum",,,,,"https://aopwiki.org/stressors/718.json",,,
"719","2) Aluminum",,,,,"https://aopwiki.org/stressors/719.json",,,
"720","Aluminum","Aluminum","Aluminum","DTXSID3040273","7429-90-5","https://aopwiki.org/stressors/720.json",,,
"722","Nickel","Nickel","Nickel","DTXSID2020925","7440-02-0","https://aopwiki.org/stressors/722.json",,,
"724","Gold","Gold","Gold","DTXSID3064697","7440-57-5","https://aopwiki.org/stressors/724.json",,,
"725","All-trans retinoic acid",,,,,"https://aopwiki.org/stressors/725.json",,,
"726","BMS-89453",,,,,"https://aopwiki.org/stressors/726.json",,,
"727","WIN18446",,,,,"https://aopwiki.org/stressors/727.json",,,
"728","4-diethylaminobenzaldehyde (DEAB)",,,,,"https://aopwiki.org/stressors/728.json",,,
"729","WIN18466",,,,,"https://aopwiki.org/stressors/729.json",,,
"730","a",,,,,"https://aopwiki.org/stressors/730.json",,,
"731","All-trans retionic acid",,,,,"https://aopwiki.org/stressors/731.json",,,
"732","Vitamin A",,,,,"https://aopwiki.org/stressors/732.json",,,
"733","Nanoparticles and micrometer",,,,,"https://aopwiki.org/stressors/733.json",,,
"735","Clomiphene","Clomiphene","Clomiphene","DTXSID1022843","911-45-5","https://aopwiki.org/stressors/735.json",,,
"736","Tamoxifen epoxide","Tamoxifen epoxide","Tamoxifen epoxide","DTXSID40238885","92137-93-4","https://aopwiki.org/stressors/736.json",,,
"737","Ethyl alcohol",,,,,"https://aopwiki.org/stressors/737.json",,,
"739","welding fumes",,,,,"https://aopwiki.org/stressors/739.json",,,
"740","Carbon black","Carbon black","Carbon black","DTXSID7051216","1333-86-4","https://aopwiki.org/stressors/740.json",,,
"741","DCA",,,,,"https://aopwiki.org/stressors/741.json",,,
"742","DCPMU",,,,,"https://aopwiki.org/stressors/742.json",,,
"743","Niclosamide ethanolamine",,,,,"https://aopwiki.org/stressors/743.json",,,
"744","Oxyclozanide","Oxyclozanide","Oxyclozanide","DTXSID50177312","2277-92-1","https://aopwiki.org/stressors/744.json",,,
"747","Toluene diisocyanate","Toluene diisocyanate","Toluene diisocyanate","DTXSID0024341","26471-62-5","https://aopwiki.org/stressors/747.json",,,
"749","Titanium dioxide nanoparticles",,,,,"https://aopwiki.org/stressors/749.json",,,
"750","Iron nanoparticles",,,,,"https://aopwiki.org/stressors/750.json",,,
"751","SANT1",,,,,"https://aopwiki.org/stressors/751.json",,,
"752","SANT-1","SANT-1","SANT-1","DTXSID90425965","304909-07-7","https://aopwiki.org/stressors/752.json",,,
"753","SANT-2","SANT-2","SANT-2","DTXSID40362255","329196-48-7","https://aopwiki.org/stressors/753.json",,,
"754","SANT-3",,,,,"https://aopwiki.org/stressors/754.json",,,
"755","SANT-4",,,,,"https://aopwiki.org/stressors/755.json",,,
"757","GANT 58",,,,,"https://aopwiki.org/stressors/757.json",,,
"758","3,3′,5,5′ tetrabromobisphenol A",,,,,"https://aopwiki.org/stressors/758.json",,,
"759","NH-375",,,,,"https://aopwiki.org/stressors/759.json",,,
"760","Lei Gong Teng (Common Threewingnut Root)",,,,,"https://aopwiki.org/stressors/760.json",,,
"761","Tian Ma (Tall Gastrodia Tuber)",,,,,"https://aopwiki.org/stressors/761.json",,,
"762","Deltamethrin",,,,,"https://aopwiki.org/stressors/762.json",,,
"763","Altered Gravity",,,,,"https://aopwiki.org/stressors/763.json",,,
"18","Dimethyl nitrosamine","Dimethylnitrosamine","N-Nitrosodimethylamine","DTXSID7021029","62-75-9","https://aopwiki.org/stressors/18.json",,,
"20","Dioxin and dioxin-like compounds","Acetamide","Acetamide","DTXSID7020005","60-35-5","https://aopwiki.org/stressors/20.json",,,
"22","Ethyl methanesulfonate","ethyl methanesulphonate","Ethyl methanesulfonate","DTXSID6025309","62-50-0","https://aopwiki.org/stressors/22.json",,,
"24","Ethyl-N'-nitro-N-nitrosoguanidine","63885-23-4","N-Ethyl-N'-nitro-N-nitrosoguanidine","DTXSID3020592","63885-23-4","https://aopwiki.org/stressors/24.json",,,
"27","Indomethacin","Indomethacin","Indomethacin","DTXSID9020740","53-86-1","https://aopwiki.org/stressors/27.json",,,
"29","Kainic acid","Kainic Acid","Kainic acid","DTXSID7040526","487-79-6","https://aopwiki.org/stressors/29.json",,,
"31","Lead(II) acetate trihydrate","Acetic acid, lead(2+) salt, trihydrate","Lead(II) acetate trihydrate","DTXSID3031521","6080-56-4","https://aopwiki.org/stressors/31.json",,,
"35","Mercuric chloride","mercury dichloride","Mercuric chloride","DTXSID5020811","7487-94-7","https://aopwiki.org/stressors/35.json",,,
"37","Methimazole","Methimazole","Methimazole","DTXSID4020820","60-56-0","https://aopwiki.org/stressors/37.json",,,
"39","Methyl-l-N'-nitro-N-nitroguanidine","70-25-7","N-Methyl-N'-nitro-N-nitrosoguanidine","DTXSID2020846","70-25-7","https://aopwiki.org/stressors/39.json",,,
"41","Naproxen","Naproxen","Naproxen","DTXSID4040686","22204-53-1","https://aopwiki.org/stressors/41.json",,,
