CAS_RN	Frequency	INCHIKEY_STANDARD	STRESSOR_NAME	CHEMICAL_ID	CHEMICAL_NAME	INCHIKEY_STANDARD1	CAS_RN1	Check	Same	CHEMICAL_ID	CHEMICAL_NAME	INCHIKEY_STANDARD	CAS_RN
1377603-17-2		SEGVHCXRUVNVCD-UHFFFAOYSA-N	14:2 Fluortelomersulfonsyre			SEGVHCXRUVNVCD-UHFFFAOYSA-N		1	1				
15087-24-8		OIQXFRANQVWXJF-ACCUITESSA-N	3-Bensylidenkamfor			OIQXFRANQVWXJF-UHFFFAOYSA-N		1	0	2614158	3-benzylidene-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one	OIQXFRANQVWXJF-UHFFFAOYSA-N	15087-24-8
208709-55-1		USQRHUAOPDZNRW-WREXNOFYSA-N	Benzene, 1-butoxy-2,3-difluoro-4-(trans-4-propylcyclohexyl)-			KYNDSYARZOJNCG-UHFFFAOYSA-N		1	0	2763996	1-butoxy-2,3-difluoro-4-(trans-4-propylcyclohexyl)benzene	KYNDSYARZOJNCG-UHFFFAOYSA-N	
21072-39-9		MCHONHDBIWWITD-HDICACEKSA-N	cis-1,3-difenylsykloheksan			MCHONHDBIWWITD-HDICACEKSA-N		1	1				
21072-42-4		VULCFZQVCFIKNK-UHFFFAOYSA-N	trans-1,4-difenylsykloheksan			VULCFZQVCFIKNK-UHFFFAOYSA-N		1	1				
2374-14-3		RROGHRHLBLVQSG-QHFDZABRSA-N	F-D3a			URZHQOCYXDNFGN-UHFFFAOYSA-N		1	0	779650	2,4,6-trimethyl-2,4,6-tris(3,3,3-trifluoropropyl)-1,3,5,2,4,6-trioxatrisilinane	URZHQOCYXDNFGN-UHFFFAOYSA-N	2374-14-3
27858-07-7		NDRKXFLZSRHAJE-UHFFFAOYSA-N	Sum Oktabrombifenyl			NDRKXFLZSRHAJE-UHFFFAOYSA-N		1	1				
29086-39-3		WOYBAAGBIXHIGK-UPHRSURJSA-N	Heptaklorstyren			WOYBAAGBIXHIGK-UPHRSURJSA-N		1	1				
3026-69-5		APTVNWGLSRAOFJ-UHFFFAOYSA-M	dimethyldioctylammonium (DADMAC-C8)			APTVNWGLSRAOFJ-UHFFFAOYSA-M		1	1				
30784-32-8		OJWSGKXEVFIBNL-UHFFFAOYSA-N	Etylmetylbutylfenol			OJWSGKXEVFIBNL-UHFFFAOYSA-N		1	1				
34454-97-2		QCIOYSZTOIGIQT-UHFFFAOYSA-N	N-metyl perfluorbutansulfonamid etanol (N-MeFBSE)			DSRUAYIFDCHEEV-UHFFFAOYSA-N		1	0	653022	1,1,2,2,3,3,4,4,4-nonafluoro-N-(2-hydroxyethyl)-N-methylbutane-1-sulfonamide	DSRUAYIFDCHEEV-UHFFFAOYSA-N	34454-97-2
354-88-1		TZGTTWJQEPLKTN-UHFFFAOYSA-N	Pentafluoretansulfonsyre (PFEtS)			GKNWQHIXXANPTN-UHFFFAOYSA-N		1	0	2554164	1,1,2,2,2-pentafluoroethanesulfonic acid	GKNWQHIXXANPTN-UHFFFAOYSA-N	354-88-1
35523-89-8		RPQXVSUAYFXFJA-AOPOZUIUSA-N	Saxitoksin			RPQXVSUAYFXFJA-HGRQIUPRSA-N		1	0	673070	(+)-saxitoxin	RPQXVSUAYFXFJA-HGRQIUPRSA-N	
36211-43-5		HYVAOIFCEISHMZ-UHFFFAOYSA-L	barium 3,5,5-trimethylhexanoate			HYVAOIFCEISHMZ-UHFFFAOYSA-L		1	1				
40088-45-7		GEASNODZMCZDOU-UHFFFAOYSA-N	Sum Tetrabrombifenyl			GEASNODZMCZDOU-UHFFFAOYSA-N		1	1				
441296-91-9		UKHUPOMCGUFNAP-UHFFFAOYSA-M	Perfluorundekanesulfonat (PFUnDS)			UKHUPOMCGUFNAP-UHFFFAOYSA-M		1	1				
4809-35-2		PTCFDJRJOGPUFE-UHFFFAOYSA-N	Bisfenol A bis(3-klor-2-hydroksypropyl)eter			PTCFDJRJOGPUFE-UHFFFAOYSA-N		1	1				
5280-68-2		GBDJNEJIVMFTOJ-ZREQDNEKSA-N	Pigment Red 146			HEKSHDRHZRCZBN-UHFFFAOYSA-N		1	0	629960	n-(4-chloro-2,5-dimethoxyphenyl)-3-hydroxy-4-{[2-methoxy-5-(phenylcarbamoyl)phenyl]diazenyl}-2-naphthamide	HEKSHDRHZRCZBN-UHFFFAOYSA-N	5280-68-2
