STRESSOR_NAME,DATA_TYPE,CAS_RN,INCHIKEY_STANDARD,MANUAL_CHECK,NOTE,NEW,Frequency
Etylbenzen,NA,CAS_100-41-4,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,NA,NA,NA,NA
Styren,NA,CAS_100-42-5,PPBRXRYQALVLMV-UHFFFAOYSA-N,NA,NA,NA,NA
N-nitrosopiperidin,NA,CAS_100-75-4,UWSDONTXWQOZFN-UHFFFAOYSA-N,NA,NA,NA,NA
"4,4'-Bis(1,1-dimetylbenzyl)difenylamin",NA,CAS_10081-67-1,UJAWGGOCYUPCPS-UHFFFAOYSA-N,NA,NA,NA,NA
Mikrocystin-LR,NA,CAS_101043-37-2,ZYZCGGRZINLQBL-GWRQVWKTSA-N,NA,NA,NA,NA
Triallylcyanurat,NA,CAS_101-37-1,BJELTSYBAHKXRW-UHFFFAOYSA-N,NA,NA,NA,NA
"indeno(1,2,3-cd)perylen",NA,CAS_101686-49-1,YTUILTQRCVAYNB-UHFFFAOYSA-N,NA,NA,NA,NA
"4,4'-Metmylendianilin",NA,CAS_101-77-9,YBRVSVVVWCFQMG-UHFFFAOYSA-N,NA,NA,NA,NA
Heptaklorepoksid,NA,CAS_1024-57-3,ZXFXBSWRVIQKOD-UOFFAGTMSA-N,NA,NA,NA,NA
Triallyl isocyanurat,NA,CAS_1025-15-6,KOMNUTZXSVSERR-UHFFFAOYSA-N,NA,NA,NA,NA
Paracetamol (legemiddel),NA,CAS_103-90-2,RZVAJINKPMORJF-UHFFFAOYSA-N,NA,NA,NA,NA
"2,6-ditert-butyl-4-metyl-4-hydroksybenzen-1(4H)-on (BHT-quinol)",NA,CAS_10396-80-2,DQBHJILNHNRDTM-UHFFFAOYSA-N,NA,NA,NA,NA
4-Nonylfenol monoetoksylat (NP1EO),NA,CAS_104-35-8,KUXGUCNZFCVULO-UHFFFAOYSA-N,NA,NA,NA,NA
4-n-Nonylfenol,NA,CAS_104-40-5,IGFHQQFPSIBGKE-UHFFFAOYSA-N,NA,NA,NA,NA
4-dodecylfenol,NA,CAS_104-43-8,KJWMCPYEODZESQ-UHFFFAOYSA-N,NA,NA,NA,NA
Difetialone,NA,CAS_104653-34-1,VSVAQRUUFVBBFS-UHFFFAOYSA-N,NA,NA,NA,NA
alfa-Terpineol,NA,CAS_10482-56-1,WUOACPNHFRMFPN-SECBINFHSA-N,NA,NA,NA,NA
Tamoksifen (legemiddel),NA,CAS_10540-29-1,NKANXQFJJICGDU-QPLCGJKRSA-N,NA,NA,NA,NA
