STRESSOR_NAME,DATA_TYPE,CAS_RN,INCHIKEY_STANDARD...4,MANUAL_CHECK,CHEMICAL_ID,CHEMICAL_NAME,INCHIKEY_STANDARD...8,same_inchikey,Select_CHEMICAL_ID,Select_INCHIKEY,inchikey
Ammonium,Stressor,14798-03-9,QGZKDVFQNNGYKY-UHFFFAOYSA-O,SAW,74,ammonium,QGZKDVFQNNGYKY-UHFFFAOYSA-O,TRUE,74,QGZKDVFQNNGYKY-UHFFFAOYSA-O,QGZKDVFQNNGYKY-UHFFFAOYSA-O
Arsen,Stressor,7440-38-2,RQNWIZPPADIBDY-UHFFFAOYSA-N,SAW,81,arsenic,RQNWIZPPADIBDY-UHFFFAOYSA-N,TRUE,81,RQNWIZPPADIBDY-UHFFFAOYSA-N,RQNWIZPPADIBDY-UHFFFAOYSA-N
Bisfenol A,Stressor,80-05-7,IISBACLAFKSPIT-UHFFFAOYSA-N,SAW,121,bisphenol a,IISBACLAFKSPIT-UHFFFAOYSA-N,TRUE,121,IISBACLAFKSPIT-UHFFFAOYSA-N,IISBACLAFKSPIT-UHFFFAOYSA-N
Kadmium,Stressor,7440-43-9,BDOSMKKIYDKNTQ-UHFFFAOYSA-N,SAW,134,cadmium,BDOSMKKIYDKNTQ-UHFFFAOYSA-N,TRUE,134,BDOSMKKIYDKNTQ-UHFFFAOYSA-N,BDOSMKKIYDKNTQ-UHFFFAOYSA-N
Kalsium,Stressor,7440-70-2,OYPRJOBELJOOCE-UHFFFAOYSA-N,SAW,136,calcium,OYPRJOBELJOOCE-UHFFFAOYSA-N,TRUE,136,OYPRJOBELJOOCE-UHFFFAOYSA-N,OYPRJOBELJOOCE-UHFFFAOYSA-N
Krom,Stressor,7440-47-3,VYZAMTAEIAYCRO-UHFFFAOYSA-N,SAW,165,chromium,VYZAMTAEIAYCRO-UHFFFAOYSA-N,TRUE,165,VYZAMTAEIAYCRO-UHFFFAOYSA-N,VYZAMTAEIAYCRO-UHFFFAOYSA-N
Magnesium,Stressor,7439-95-4,FYYHWMGAXLPEAU-UHFFFAOYSA-N,SAW,349,magnesium,FYYHWMGAXLPEAU-UHFFFAOYSA-N,TRUE,349,FYYHWMGAXLPEAU-UHFFFAOYSA-N,FYYHWMGAXLPEAU-UHFFFAOYSA-N
Perfluordekansyre (PFDA),Stressor,335-76-2,PCIUEQPBYFRTEM-UHFFFAOYSA-N,SAW,467,perfluorodecanoic acid,PCIUEQPBYFRTEM-UHFFFAOYSA-N,TRUE,467,PCIUEQPBYFRTEM-UHFFFAOYSA-N,PCIUEQPBYFRTEM-UHFFFAOYSA-N
Perfluordekansulfonsyre (PFDS),Stressor,335-77-3,HYWZIAVPBSTISZ-UHFFFAOYSA-N,SAW,468,perfluorodecane sulfonic acid,HYWZIAVPBSTISZ-UHFFFAOYSA-N,TRUE,468,HYWZIAVPBSTISZ-UHFFFAOYSA-N,FUNQFOUBLCEFIK-UHFFFAOYSA-N
Perfluordodekansyre (PFDoDA),Stressor,307-55-1,CXGONMQFMIYUJR-UHFFFAOYSA-N,SAW,469,perfluorododecanoic acid,CXGONMQFMIYUJR-UHFFFAOYSA-N,TRUE,469,CXGONMQFMIYUJR-UHFFFAOYSA-N,CXGONMQFMIYUJR-UHFFFAOYSA-N
Perfluorheptansyre (PFHpA),Stressor,375-85-9,ZWBAMYVPMDSJGQ-UHFFFAOYSA-N,SAW,471,"2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoroheptanoic acid",ZWBAMYVPMDSJGQ-UHFFFAOYSA-N,TRUE,471,ZWBAMYVPMDSJGQ-UHFFFAOYSA-N,ZWBAMYVPMDSJGQ-UHFFFAOYSA-N
Perfluorheksansyre (PFHxA),Stressor,307-24-4,PXUULQAPEKKVAH-UHFFFAOYSA-N,SAW,472,perfluorohexanoic acid,PXUULQAPEKKVAH-UHFFFAOYSA-N,TRUE,472,PXUULQAPEKKVAH-UHFFFAOYSA-N,PXUULQAPEKKVAH-UHFFFAOYSA-N
Perfluornonansyre (PFNA),Stressor,375-95-1,UZUFPBIDKMEQEQ-UHFFFAOYSA-N,SAW,475,perfluorononanoic acid,UZUFPBIDKMEQEQ-UHFFFAOYSA-N,TRUE,475,UZUFPBIDKMEQEQ-UHFFFAOYSA-N,UZUFPBIDKMEQEQ-UHFFFAOYSA-N
Perfluoroktansulfonsyre (PFOS),Stressor,1763-23-1,YFSUTJLHUFNCNZ-UHFFFAOYSA-N,SAW,477,perfluorooctanesulfonic acid,YFSUTJLHUFNCNZ-UHFFFAOYSA-N,TRUE,477,YFSUTJLHUFNCNZ-UHFFFAOYSA-N,YFSUTJLHUFNCNZ-UHFFFAOYSA-N
Perfluoroktansyre (PFOA),Stressor,335-67-1,SNGREZUHAYWORS-UHFFFAOYSA-N,SAW,478,perfluorooctanoic acid,SNGREZUHAYWORS-UHFFFAOYSA-N,TRUE,478,SNGREZUHAYWORS-UHFFFAOYSA-N,SNGREZUHAYWORS-UHFFFAOYSA-N
Perfluorpentansyre (PFPeA),Stressor,2706-90-3,CXZGQIAOTKWCDB-UHFFFAOYSA-N,SAW,479,perfluoropentanoic acid,CXZGQIAOTKWCDB-UHFFFAOYSA-N,TRUE,479,CXZGQIAOTKWCDB-UHFFFAOYSA-N,CXZGQIAOTKWCDB-UHFFFAOYSA-N
Perfluorbutansyre (PFBA),Stressor,375-22-4,YPJUNDFVDDCYIH-UHFFFAOYSA-N,SAW,465,heptafluorobutyric acid,YPJUNDFVDDCYIH-UHFFFAOYSA-N,TRUE,465,YPJUNDFVDDCYIH-UHFFFAOYSA-N,YPJUNDFVDDCYIH-UHFFFAOYSA-N
Tetrabutyltinn (TTBT),Stressor,1461-25-2,AFCAKJKUYFLYFK-UHFFFAOYSA-N,SAW,586,tetrabutylstannane,AFCAKJKUYFLYFK-UHFFFAOYSA-N,TRUE,586,AFCAKJKUYFLYFK-UHFFFAOYSA-N,AFCAKJKUYFLYFK-UHFFFAOYSA-N
Perfluorundekansyre (PFUnDA),Stressor,2058-94-8,SIDINRCMMRKXGQ-UHFFFAOYSA-N,SAW,481,perfluoroundecanoic acid,SIDINRCMMRKXGQ-UHFFFAOYSA-N,TRUE,481,SIDINRCMMRKXGQ-UHFFFAOYSA-N,SIDINRCMMRKXGQ-UHFFFAOYSA-N
Perfluorbutansulfonsyre (PFBS),Stressor,375-73-5,JGTNAGYHADQMCM-UHFFFAOYSA-N,SAW,482,perfluorobutanesulfonate,JGTNAGYHADQMCM-UHFFFAOYSA-N,TRUE,482,JGTNAGYHADQMCM-UHFFFAOYSA-N,JGTNAGYHADQMCM-UHFFFAOYSA-N
